"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"15363",9,22393,110,26.8790705861644,27.8472099982397
"9031",22,31000,164.29,20.3963702226699,21.6471801009388
"8607",222,533719,4658.18,12.3540513373978,13.6323710063933
"33851",16,20218,174.59,22.3657677587422,23.6173188462418
"880",17,41241,274.55,25.3222972834046,26.5767607837941
"27490",14,28848,155,16.4256993754812,17.3728658201239
"10478",19,38348,230,15.7016157123335,16.7287407447103
"26607",76,115736,1007.51,15.2886774257633,16.5467218061317
"6180",14,40629,101,29.4558374486372,29.9317676329777
"21956",94,209269,1879.8,10.3861555281764,11.6400986984953
"13593",17,58855,467.41,21.1041271043037,22.3661895467068
"10308",17,20834,152.85,17.3772730093713,18.6420902376963
"12216",24,44940,315.67,18.7193474652901,19.9718138523965
"1557",36,61786,393.9,19.4355542624382,20.708951605082
"26992",41,66617,580.55,11.5343291706587,12.8085926911203
"32713",40,137720,1011.67,19.9092638538893,21.1942967084934
"24495",15,38697,77,20.6028466063211,21.0722013958733
"10378",23,50397,418.29,15.2811965552547,16.5382214730713
"22844",142,291628,2710.89,6.01124758866037,7.28795010947073
"21677",165,242747,2011.43,10.7872952977929,12.0383267427213
"639",12639,42506386,1524211.2,7.8403294169961,11.9940389664418
"24867",1224,6229928,193247.22,7.20511588720801,10.309346767869
"6420",1054,4366489,26841.67,15.638491647264,16.9039975083344
"23472",27,30181,0,198.77130815843,198.77130815843
"27097",32,56086,509.71,11.1656402195163,12.4189409189855
"2345",132,147030,1472,10.3899584656109,11.6384498012337
"1530",30,66692,358,16.5334047662803,17.6485062934711
"16890",11,17646,147.69,12.3610129909656,13.6165824604537
"20808",25,44448,320,13.4718127431789,14.572675888689
"17859",18,34771,225.39,26.1792295361855,27.4438108789118
"1655",20,56005,389.32,19.0937576218973,20.3464677191937
"23130",34,58465,391.53,20.7405133854182,22.0135237641284
"1824",21,56872,373.39,20.811567386033,22.0623047345395
"10597",9,28901,151,25.3520709621052,26.4701091382961
"8889",4,6870,52.04,13.1387002347577,14.3955714851562
"22436",24,33145,243.21,12.5666817946558,13.8167197002911
"63",9,20648,75.57,56.509792439003,57.7599227126024
"8480",25,47251,331,19.3152907410252,20.555516004901
"13689",12,19074,121.9,23.946123791898,25.1994653506066
"23099",6,13418,123.42,11.6996969085487,12.9575162399539
"11865",6,5859,50.23,8.89203278843687,10.1431442925354
