"","numemp","asset","RBCT2"
"15293",50,196892,1678
"34380",113,396843,3835
"5241",92,452120,4289
"27943",49,255090,1566
"22811",26,171665,1445
"57086",24,68097,279
"18155",42,90687,797
"12717",14,38220,280
"32869",69,228383,1529
"21122",182,530220,5441
"23530",18,33602,307
"26550",6,14143,90
"90169",90,227270,602
"9189",24,60610,551
"22578",55,151383,748
"34314",16,66760,705
"6196",10,29333,256
"10856",11,33632,281
"35045",13,18065,148
"23622",183,679072,3856
"4995",126,272845,2103
"22853",49,247106,1775
"30306",58,181580,1245
"26790",44,149793,1069
"15797",447,1042464,7949
"20577",66,139847,1038
"26537",14,60355,251
"17798",106,1054537,10820
"29272",69,247766,515
"14357",28,76938,1993
"11721",13,48465,195
"1877",15,46011,351
"2443",76,155878,1258
"18748",25,93339,751
"20220",53,116026,756
"13692",11,32504,334
"17881",10,28635,176
"32744",38,109239,1085
"9877",13,33917,231
"6064",6,17669,147
"15957",523,2109368,20128
"10618",35,118688,1002
"35101",14,35903,275
"12121",8,33176,160
"34795",28,85340,579
"10844",38,89867,812
"29696",22,67585,308
"10857",6,32740,224
"219",13,43916,332
"34613",39,450579,4178
"9674",35,111159,925
"11578",282,854801,6144
"27556",35,91040,589
"11760",97,148259,1360
"14592",13,41648,358
"13669",9,40031,267
"16450",338,1033519,12706
"28672",85,283461,2290
"25070",172,364209,1986
"34077",62,184280,1734
"35457",14,15086,63
"26619",24,63813,620
"33219",122,260257,2362
"16110",7,21529,210
"23063",214,282072,2176
"902",37,95270,550
"11405",190,489097,4991
"22350",6,21283,177
"30119",38,104297,718
"1041",22,68118,161
"1419",31,60391,477
"34328",34,83373,589
"22134",34,119651,1049
"8483",32,77895,705
"29756",13,37611,668
"11785",22,66587,524
"88",11,44249,369
"9024",48,76663,693
"20852",1925,8543367,189064
"26610",219,555731,5002
"27338",32,129112,1134
"18923",205,2088684,41037
"30278",8095,59434001,487378
"35331",21,22116,32
"34659",77,961792,10031
"34579",23,55996,270
"23242",25,72123,702
"30006",182,774156,4709
"11607",18,53847,474
"18933",71,227443,1521
"34567",9,13033,56
"5874",89,318264,2104
"22819",61,145827,1463
"28134",10,37332,151
"34161",49,180686,850
"17870",288,1514812,5337
"14823",17,54249,422
"10987",14,75047,735
"8152",180,559170,3538
"90172",191,1051099,10352
"34707",14,66316,692
"19541",184,294820,2230
"10471",6,16217,72
"16161",14,48243,386
"33232",22,52227,433
"10840",6,13586,92
"23250",47,53810,356
"31225",2,5648,8
"21801",64,128193,1010
"26450",12,80650,434
"15285",13,25924,183
"16286",8,28595,268
"35547",10,21385,102
"34692",40,106759,976
